,Name,Link,Location,Number,Email,Website,Description
0,tappx,https://www.mwcbarcelona.com/exhibitor/tappx/,Hall 8,,,http://www.tappx.com,"Tappx is a leading global AdTech company specializing in advertising solutions for advanced digital platforms including mobile, digital TV and audio. Tappx’ proprietary technology empowers publishers to maximize ad revenues across mobile and OTT channels. Tappx offers a distinct point of difference – its proprietary and state-of-the-art technology has been exclusively engineered for mobile and OTT markets, thereby offering brand and agencies with increased trust and transparency. In 2018, Tappx was Spain’s 2nd fastest growing startup (according to TECH5 and The Next Web). The Tappx platform currently processes a staggering 400 billion ad requests per month worldwide."
1,10xmotion,https://www.mwcbarcelona.com/exhibitor/10xmotion/,Hall M8,,thomas.lloyd@10xbeta.com,,"10XMotion is building a company to design and manufacture autonomous and electric modules for assisted mobility in a multitude of civilian settings, our first vertical and go to market strategy focuses on the airline industry."
2,1nce,https://www.mwcbarcelona.com/exhibitor/1nce/,Hall 1 Stand 1E82,,,http://www.1nce.com,"1NCE is the first dedicated global Tier-1 IoT Carrier providing managed connectivity services for IoT solutions, such as Asset Tracking, Tank Monitoring, Vehicle Telematics, Smart Metering and Waste Management. 1NCE cooperates with leading operators in order to guarantee Tier-1 grade connectivity services across Europe, Asia and North America. 1NCE has a team of more than 50 employees in 6 countries across Europe and is headquartered in Cologne, Germany, where it was founded together with Deutsche Telekom AG in late 2017."
3,2hz,https://www.mwcbarcelona.com/exhibitor/2hz/,Hall 2 Stand 2A20MR,,,http://www.2hz.ai,"2Hz develops voice and audio applications and technologies to enhance the productivity and privacy of daily communications. AI-driven Krisp™ is the first and only application available for Windows and Mac that works seamlessly across all conferencing apps (Skype, WebEx, Zoom, Slack, etc.), headphones and microphones. Krisp provides background noise muting for both outbound and inbound conversations in challenging conditions – call centers, shared workspaces, coffee shops and others. Additionally, Krisp is available as an embedded app for mobile phones, smart speakers, automobiles, business conferencing systems and network servers to provide a consistent, high quality user experience across all devices and environments."
4,2sens,https://www.mwcbarcelona.com/exhibitor/2sens/,Hall 5 Stand 5E61,,moshe@2sens.co,http://www.2sens.co,True Mixed-Reality!
5,360os,https://www.mwcbarcelona.com/exhibitor/360os/,Hall 6 Stand 6M38,,lishuang-os@360os.com,,"Following Android specifications, 360OS integrates 360 Group advanced resources to provide customized mobile phone operation system for making more secured mobile devices. With advantages like quick upgrade, supporting worldwide devices, 360OS is one of best security operation system solution providers. Now, 360OS is focusing on customized IOT solution which provides enterprise customers with safe, low consumption and efficient IOT infrastructure platform and content service platform. 360os’s  IOT solution will be applied in abroad fields as education、transportation、medicine etc."
6,3dlook,https://www.mwcbarcelona.com/exhibitor/3dlook/,Hall M8,,,,"3DLOOK is a pioneer of mobile body scanning technology which removes the barriers to online shopping: low confidence, returns, and lack of body data. Our B2B solutions help online brands and retailers create a better online shopping experience for their customers, solve fit and sizing problems, increase conversion rates, and lower return rates. Our patent pending and proprietary technology combine computer vision, neural networks, and complex 3D statistical modeling to process and measure the human body from just two photos taken on any smartphone in any setting."
7,3starsnet,https://www.mwcbarcelona.com/exhibitor/3starsnet/,Hall 7 Stand 7G71,,pierre@3starsnet.com,http://www.3starsnet.com,3StarsNet is the biggest alternative VoIP operator in Belgium
8,51degrees,https://www.mwcbarcelona.com/exhibitor/51degrees/,Hall Upper Walkway Stand 7UP,,sales@51degrees.com,,"51Degrees is The Fastest and Most Accurate Device Intelligence provider. We provide the largest number of Device combinations (>1,200,000 and growing) of Hardware Model, OS and Browser. Access granular device analytics with over >222 device properties such as retail price, hardware vendor, screen size, crawler name and device age all indexed by IMEI, TAC, User-Agent or Native Apps."
9,7layers,https://www.mwcbarcelona.com/exhibitor/7layers/,Hall 7 Stand 7E31,,,http://www.7layers.com,"7layers supports technology enablers, manufacturers and service providers with wireless testing, engineering, certification and global type approval. Complementary services are technology consulting, specification development, benchmarking and validation of IoT services set-ups."
10,abbyy,https://www.mwcbarcelona.com/exhibitor/abbyy/,Hall 8,,,,"ABBYY is a global provider of content intelligence solutions and services. The company’s AI-based digital transformation solutions help organizations achieve the next wave of growth. ABBYY technologies are used and licensed by thousands of international enterprises and government organizations, as well as SMBs and more than 50 million individuals. ABBYY has offices in 11 countries and over 1,000 employees."
