,Name,Link,Location,Number,Email,Website,Description
0,10xmotion,https://www.4yfn.com/exhibitor/10xmotion/,Hall 4YFN Montjuic Hall M8 Stand P4,(076) 630-6047,thomas.lloyd@10xbeta.com,http://10xmotion.com/,"10XMotion is building a company to design and manufacture autonomous and electric modules for assisted mobility in a multitude of civilian settings, our first vertical and go to market strategy focuses on the airline industry."
1,3dlook,https://www.4yfn.com/exhibitor/3dlook/,Hall 4YFN Montjuic Hall M8 Stand 20,,,https://3dlook.me/,"3DLOOK is a pioneer of mobile body scanning technology which removes the barriers to online shopping: low confidence, returns, and lack of body data. Our B2B solutions help online brands and retailers create a better online shopping experience for their customers, solve fit and sizing problems, increase conversion rates, and lower return rates. Our patent pending and proprietary technology combine computer vision, neural networks, and complex 3D statistical modeling to process and measure the human body from just two photos taken on any smartphone in any setting."
2,4yfn-awards,https://www.4yfn.com/exhibitor/4yfn-awards/,Hall 4YFN Montjuic Hall M8 Stand 20,,,,
3,4yfn-community-club,https://www.4yfn.com/exhibitor/4yfn-community-club/,Hall 4YFN Montjuic Hall M8 Stand N1,,,https://www.4yfn.com/community-club/,4YFN Community Club is the new initiative of 4YFN for tech communities to plug in into the network of the startup ecosystem and to unite around a common goal: to develop entrepreneurship and drive innovation.
4,abitari,https://www.4yfn.com/exhibitor/abitari/,Hall 4YFN Montjuic Hall M8 Stand R4,,,http://www.abitari.com/,"Abitari automates hotel operations to improve guest experience. Our products are focused on fast check-in process, staff operations and guest relationships. We provide a set of Apps fully integrated between them and also with your PMS. We are currently working with some of the main hotel chains in Spain."
5,able-human-motion,https://www.4yfn.com/exhibitor/able-human-motion/,Hall 4YFN Montjuic Hall M8 Stand O2,+34 650646127,acarnicero@ablehumanmotion.com,http://www.ablehumanmotion.com/,"Spinal cord injury is a catastrophic event that thrusts 5 million people worldwide into a life challenged by disability. These people could walk again if they had a robotic exoskeleton. However, current devices are expensive (100 k€ approx.), heavy and require supervision."
6,accelleran,https://www.4yfn.com/exhibitor/accelleran/,Hall 4YFN Montjuic Hall M8 Stand M4,+32 32021956,,http://www.accelleran.com/,"Accelleran provides Mobile RAN/vRAN software and LTE Small Cell product solutions addressing the real-world challenges of increasing data volumes and 5G applications, calling for hyperdense networks. Accelleran’s unique software architecture is genuinely independent from any hardware platform. Operators can leverage one software solution for integrated small cells and for disaggregated and virtualised RAN networks with slicing and edge capabilities. With a global Cellular Industry's leading design team, Accelleran is the technology choice for carrier grade, reliable, performant Small Cells and Radio Access Network software solutions for Fixed Wireless Access, Public Mobile, Private Network, Neutral Host or IOT/Vertical solution providers."
7,accesslab-it-services,https://www.4yfn.com/exhibitor/accesslab-it-services/,Hall 4YFN Montjuic Hall M8 Stand K2,+30 2106439899,konstantinos.laliotis@yahoo.gr,https://accesslab.gr/,In AccessLab we are offering mobility services and mapping solutions for disability. We are also developing a wheelchair navigator (https://webgis.accesslab.gr/) and we are searching for IoT solutions by testing the use of sensors in order to control parking violation on ramps and sidewalks.
8,acero-tecnologica-sl,https://www.4yfn.com/exhibitor/acero-tecnologica-sl/,Hall 4YFN Montjuic Hall M8 Stand T3,+34 918615626,nicola@acerodocs.com,http://www.acerodocs.com/,"AceroDocs is the first IRM on the market that cares for easy use. With a simple click you can quickly protect a file and manage its access, in addition your subscription payment is economical and very versatile."
9,acqustic,https://www.4yfn.com/exhibitor/acqustic/,Hall 4YFN Montjuic Hall M8 Stand B2,+34 669752653,esteve.lombarte@acqustic.com,http://acqustic.com/,"Acqustic is a mobile platform that allows musicians to apply to hundreds of concerts per month, interviews in radios, upload their music to Spotify and Apple Music and generate their own invoices. All musician's career tools in one platform"
10,acromove-inc,https://www.4yfn.com/exhibitor/acromove-inc/,Hall 4YFN Montjuic Hall M8 Stand K2,+30 6932834153,evan@acromove.com,http://acromove.com/,"In 4YFN On-Premise Edge server IaaS business model will be the norm. Amazon with Snowball Edge/Outpost and Microsoft with Databox Edge are starting the game, hundreds of other public clouds are in the need to enter the On-Premise Edge IaaS business model. Acromove Inc. is a 2017 venture baked startup, manufactures the world’s best portable/shippable, High Security, GSM/Iridium/WiFi Remote Managed Servers for off-line Mass Data Migration and the IaaS Edge having already clients like IBM Cloud and Tata Communications is ready to take off. Our upcoming ServerPack™ EDGE with our unique design/patented technology will be the Industry’s platform of choice."
11,adamo-robot,https://www.4yfn.com/exhibitor/adamo-robot/,Hall 4YFN Montjuic Hall M8 Stand 6,,sales@adamorobot.com,http://adamorobot.com/,"The ADAMO robotic treatment concept is based on a physiotherapy method widely used by physiotherapists that involves applying continuous pressure on MTP (myofascial trigger points). These points must be defined by a health professional (Physician or physiotherapist) and thus determine the existence of the pathology that can be treated with ADAMO. The treatments are personalized thanks to the data collected by the physiotherapist, which is then applied to Adamo Robot in scheduled sessions."
12,adan-medical-innovation,https://www.4yfn.com/exhibitor/adan-medical-innovation/,Hall 4YFN Montjuic Hall M8 Stand J3,+34 656602943,xguillem@adanmi.com,http://www.adanmi.com/,"Adan Medical Innovation is a company focused on the development of digital solutions to improve the management of auto-injectors. Our first set of products are in the anaphylaxis space, a severe allergic reaction that compromises life within minutes."
13,adipsys,https://www.4yfn.com/exhibitor/adipsys/,Hall 4YFN Montjuic Hall M8 Stand N4,+33 682574770,sales@adipsys.com,https://www.adipsys.com/,"Adipsys is a software editor of Wi-Fi cloud management solutions designed for Integrators and Operators, which applies to many areas such as Smart cities Retail , Events, Hospitality, Education and corporate applications."
14,adsumnet,https://www.4yfn.com/exhibitor/adsumnet/,Hall 4YFN Montjuic Hall M8 Stand I2,+44 2081338200,info@adsumnet.com,http://www.adsumnet.com/,"Featuring ""LivePark"" the industry least intrusive, cost-effective and high-precision Smart-Parking Sensor System."
15,adzuki,https://www.4yfn.com/exhibitor/adzuki/,Hall 4YFN Montjuic Hall M8 Stand E2,+45 60666660,claus@adzukimobile.com,http://www.adzuki.co/,The Social Media Wardrobe by Adzuki
16,aeinnova,https://www.4yfn.com/exhibitor/aeinnova/,Hall 4YFN Montjuic Hall M8 Stand L4,,raul.aragones@aeinnova.com,http://www.aeinnova.com/,"Large industries lose up to 60% of their energy consumption in the form of waste heat as a result of the transformation of primary materials. AEInnova technology is capable of converting this heat into electricity that can be used in two different ways: first, taking advantatge of the generated energy to reduce the global energy consumption and second, powering our wireless and batteryless sensorization systems that allow you to easily transform your traditional industry into an industry 4.0 without maintenance."
17,aetolls,https://www.4yfn.com/exhibitor/aetolls/,Hall 4YFN Montjuic Hall M8 Stand I2,+1 5124150760,sglagow@aetolls.ney,http://aetolls.com/,AETolls holds several patents in the U.S and 14 other countries for direct carrier billing (DCB) in the tolling and toll road payment processing categories.. Their first product tapnpay is being implemented in North America with their DCB payment provider Verizon. Additional carriers will be implemented in the next few months.
18,africa-water-enterprises,https://www.4yfn.com/exhibitor/africa-water-enterprises/,Hall 4YFN Montjuic Hall M8 Stand 54,,,,
