,Name,Link,Location,Number,Email,Website,Description
0,tappx,https://www.mwcbarcelona.com/exhibitor/tappx/,Hall 8,,,http://www.tappx.com,"Tappx is a leading global AdTech company specializing in advertising solutions for advanced digital platforms including mobile, digital TV and audio. Tappx’ proprietary technology empowers publishers to maximize ad revenues across mobile and OTT channels. Tappx offers a distinct point of difference – its proprietary and state-of-the-art technology has been exclusively engineered for mobile and OTT markets, thereby offering brand and agencies with increased trust and transparency. In 2018, Tappx was Spain’s 2nd fastest growing startup (according to TECH5 and The Next Web). The Tappx platform currently processes a staggering 400 billion ad requests per month worldwide."
1,yet-gmbh,https://www.mwcbarcelona.com/exhibitor/yet-gmbh/,Hall 6 Stand 6B40,,info@add-yet.de,http://www.add-yet.de,No mobile business without mobile security – enforce security starting on the smart-device with its apps all the way through to the backend.
2,10xmotion,https://www.mwcbarcelona.com/exhibitor/10xmotion/,Hall M8,,thomas.lloyd@10xbeta.com,,"10XMotion is building a company to design and manufacture autonomous and electric modules for assisted mobility in a multitude of civilian settings, our first vertical and go to market strategy focuses on the airline industry."
3,12cm-global-pte-ltd,https://www.mwcbarcelona.com/exhibitor/12cm-global-pte-ltd/,Hall 7 Stand 7G61,,support@12cmglobal.com,http://www.12cmglobal.com,"12CM, a 5-year-old startup from South Korea, provides innovative O2O and Fintech solutions with echoss stamp on the basis of authentication technology on a smartphone. 12CM has established 12CM EU (in Spain) along with 12CM Japan, 12CM China, 12CM Global (in Singapore), and 12CM Taiwan."
4,1nce,https://www.mwcbarcelona.com/exhibitor/1nce/,Hall 1 Stand 1E82,,,http://www.1nce.com,"1NCE is the first dedicated global Tier-1 IoT Carrier providing managed connectivity services for IoT solutions, such as Asset Tracking, Tank Monitoring, Vehicle Telematics, Smart Metering and Waste Management. 1NCE cooperates with leading operators in order to guarantee Tier-1 grade connectivity services across Europe, Asia and North America. 1NCE has a team of more than 50 employees in 6 countries across Europe and is headquartered in Cologne, Germany, where it was founded together with Deutsche Telekom AG in late 2017."
5,1ot-2,https://www.mwcbarcelona.com/exhibitor/1ot-2/,Hall 8,,,,"1oT provides a seamless cellular (2G, 3G, 4G) connectivity solution to IoT & M2M device makers. We are excited to launch our eSIM solution this year at MWC19, marking an extraordinary turning point in the availability of eSIM solutions!"
6,1stpoint-hammer-communications,https://www.mwcbarcelona.com/exhibitor/1stpoint-hammer-communications/,Hall 8,,,,"Hammer Fiber Optics Holdings Corp. (OTCQB:HMMR) is a telecommunications company investing in the future of wireless technology. Hammer’s “Everything Wireless” go to market strategy includes the development of high-speed fixed wireless service for residential and small businesses using its wireless fiber platform, Hammer Wireless® AIR, Over-the-Top services such as voice, SMS and video collaboration services, the construction of smart city networks and hosting services including cloud and colocation."
7,2hz,https://www.mwcbarcelona.com/exhibitor/2hz/,Hall 2 Stand 2A20MR,,,http://www.2hz.ai,"2Hz develops voice and audio applications and technologies to enhance the productivity and privacy of daily communications. AI-driven Krisp™ is the first and only application available for Windows and Mac that works seamlessly across all conferencing apps (Skype, WebEx, Zoom, Slack, etc.), headphones and microphones. Krisp provides background noise muting for both outbound and inbound conversations in challenging conditions – call centers, shared workspaces, coffee shops and others. Additionally, Krisp is available as an embedded app for mobile phones, smart speakers, automobiles, business conferencing systems and network servers to provide a consistent, high quality user experience across all devices and environments."
8,2operate-a-s,https://www.mwcbarcelona.com/exhibitor/2operate-a-s/,Hall 6 Stand 6C50,,sales@2operate.com,http://www.2operate.com,2operate develops and delivers innovative software solutions for mobile and satellite operators to use in operations-critical configuration management and fault-finding setups. Our expertise is within the field of OSS and network operations management.
9,2sens,https://www.mwcbarcelona.com/exhibitor/2sens/,Hall 5 Stand 5E61,,moshe@2sens.co,http://www.2sens.co,True Mixed-Reality!
10,360os,https://www.mwcbarcelona.com/exhibitor/360os/,Hall 6 Stand 6M38,,lishuang-os@360os.com,,"Following Android specifications, 360OS integrates 360 Group advanced resources to provide customized mobile phone operation system for making more secured mobile devices. With advantages like quick upgrade, supporting worldwide devices, 360OS is one of best security operation system solution providers. Now, 360OS is focusing on customized IOT solution which provides enterprise customers with safe, low consumption and efficient IOT infrastructure platform and content service platform. 360os’s  IOT solution will be applied in abroad fields as education、transportation、medicine etc."
11,3dlook,https://www.mwcbarcelona.com/exhibitor/3dlook/,Hall M8,,,,"3DLOOK is a pioneer of mobile body scanning technology which removes the barriers to online shopping: low confidence, returns, and lack of body data. Our B2B solutions help online brands and retailers create a better online shopping experience for their customers, solve fit and sizing problems, increase conversion rates, and lower return rates. Our patent pending and proprietary technology combine computer vision, neural networks, and complex 3D statistical modeling to process and measure the human body from just two photos taken on any smartphone in any setting."
12,3i-inc,https://www.mwcbarcelona.com/exhibitor/3i-inc/,Hall 1 Stand 1C51,,sales@getpivo.com,http://www.getpivo.com,"Pivo is a genius interactive pod for smartphone photography and videography that is unlike anything else in the market today. With over 9 quick creation modes, 2 auto tracking modes and multistreaming on over 30+ platforms, Pivo brings the same value to creators as an arsenal of other smartphone accessories and gadgets put together. Having already raised half-a-million dollars on Kickstarter, Pivo is now ready to create new partnerships and open new opportunities with distributors, resellers, investors and other companies looking for integration."
13,3mk-screen-protectors,https://www.mwcbarcelona.com/exhibitor/3mk-screen-protectors/,Hall Congress Square Stand CS140,,export@3mk.pl,,"Our company that produces protectors for devices and screens had been created before the first iPhone was released by Apple. Since this very moment we have considerably developed our technological potential. Our efforts have been rewarded with numerous certificates and mentions as well as granted patents and utility models. Our mission is to make everyone happy with howthe device looks, feels and functions, protecting."
14,3starsnet,https://www.mwcbarcelona.com/exhibitor/3starsnet/,Hall 7 Stand 7G71,,pierre@3starsnet.com,http://www.3starsnet.com,3StarsNet is the biggest alternative VoIP operator in Belgium
15,3z-telecom,https://www.mwcbarcelona.com/exhibitor/3z-telecom/,Hall 6 Stand 6G35,,info@3ztelecom.com,http://www.3ztelecom.com,"3Z Telecom is a leading manufacturer of antenna alignment and monitoring solutions. After dominating the market with the 3Z RF Vision, the world’s only antenna alignment tool with built-in camera, 3Z Telecom is here to present two new Alignment Monitoring solutions: The IoA is an external sensor, easy to use and install. It provides IoT to antennas, sending alignment reports in real time. The AMP is a small, all-in-one sensor module that integrates into an antenna’s existing circuitry to enable reporting on Azimuth, Tilt, and Roll with self-healing capabilities. 3Z Telecom innovates to make things easy!"
16,42-maru-inc,https://www.mwcbarcelona.com/exhibitor/42-maru-inc/,Hall 7 Stand 7D69,,jason@42maru.com,,"We are building the next generation of search. Our QA (Question Answering) system uses deep learning to understand a question and deliver a single correct answer in less than a second. Our technology finds the relevant answers in real time using MRC (Machine Reading Comprehension). Our patented QA system is the 1st and only commercial version in Korea which is already used in 50% of the smart speakers in Korea. We also have use cases with KT, LG, Daewoo, Hyundai, Softbank and many others."
17,4dreplay-korea-inc,https://www.mwcbarcelona.com/exhibitor/4dreplay-korea-inc/,Hall 1 Stand 1A30,,henry@4dreplay.com,http://www.4dreplay.com,"4DRepaly Korea, Inc. is the subsidiary of 4DReplay. Inc.. a San Francisco, CA based company specializing in media technology.  4DReplay creates any time any angle video from collection of frames from multiple cameras in a matter of seconds."
18,4iiii-innovations-inc,https://www.mwcbarcelona.com/exhibitor/4iiii-innovations-inc/,Hall 7 Stand 7J38,,,,
19,4pay-networks-gmbh,https://www.mwcbarcelona.com/exhibitor/4pay-networks-gmbh/,Hall 6 Stand 6B40,,info@4paynetworks.com,http://www.4paynetworks.com,"4Pay Networks GmbH is an enterprise messaging solution provider and technical payment enabler offering two-way communication services and mobile payments exclusively from Germany. Originated from a leading, since 18 years established mobile aggregator, 4Pay Networks has a carrier-grade platform that enables it´s global merchants to use more than 120 network operators worldwide. The messaging gateway from 4Pay Networks enables their clients to deliver secure digital communication to their customers and employees. With 4Pay networks programmable API’s it is frictionless for any client to quickly deploy any SMS service. 4Pay Networks enables information infrastructure provision of your IT systems."
20,4yfn-awards,https://www.mwcbarcelona.com/exhibitor/4yfn-awards/,Hall M8,,,,
21,4yfn-community-club,https://www.mwcbarcelona.com/exhibitor/4yfn-community-club/,Hall M8,,,,4YFN Community Club is the new initiative of 4YFN for tech communities to plug in into the network of the startup ecosystem and to unite around a common goal: to develop entrepreneurship and drive innovation.
22,51degrees,https://www.mwcbarcelona.com/exhibitor/51degrees/,Hall Upper Walkway Stand 7UP,,sales@51degrees.com,,"51Degrees is The Fastest and Most Accurate Device Intelligence provider. We provide the largest number of Device combinations (>1,200,000 and growing) of Hardware Model, OS and Browser. Access granular device analytics with over >222 device properties such as retail price, hardware vendor, screen size, crawler name and device age all indexed by IMEI, TAC, User-Agent or Native Apps."
23,5g-americas,https://www.mwcbarcelona.com/exhibitor/5g-americas/,Hall 2 Stand 2D57MR,,heidi.mills@5gamericas.org,,About 5G Americas: The Voice of 5G and LTE for the Americas
24,5g-automotive-association-e-v,https://www.mwcbarcelona.com/exhibitor/5g-automotive-association-e-v/,Halls,,,,
25,5g-ia,https://www.mwcbarcelona.com/exhibitor/5g-ia/,Hall 7 Stand 7K17,,info@5g-ppp.eu,http://www.5g-ia.eu,"The 5G IA represents the private side in the European 5G PPP Research Programme. The 5G IA is committed to the advancement of 5G in Europe and to building global consensus on 5G. To this aim, the Association brings together a global industry community of telecoms & digital actors, such as operators, manufacturers, research institutes, universities, verticals and SMEs. The 5G IA carries out a wide range of activities in strategic areas including standardization, frequency spectrum, R&D projects, technology skills, collaboration with key vertical industry sectors, notably for the development of trials, and international cooperation."
26,5g-courses-com,https://www.mwcbarcelona.com/exhibitor/5g-courses-com/,Hall 6 Stand 6H10,,,,"We help technology industry leaders close skills gaps in critical areas like 5G, IoT or Blockchain."
27,6d-technologies,https://www.mwcbarcelona.com/exhibitor/6d-technologies/,Hall 5 Stand 5J51,,,,"6d is an extremely agile and a rapidly evolving technology partner, serving 100+ Communication Service Providers, across 5 continents. With more than 600+ professionals on-board, 6d enables its partners to achieve their short and long term transformational, strategic and market leadership goals effectively and efficiently, while keeping TCO in check. The offerings include Customer Experience Digitalisation, BSS, Customer Value Enhancement, M2M/IoT, Sales & Distribution, Digital Transformation, Big Data and Convergence across customers-technologies-services enabling future-proofing and long-term customer stickiness. The mission is to fulfil real-time demands of the end users and deliver tangible and time bound business value to every stakeholder."
28,7layers,https://www.mwcbarcelona.com/exhibitor/7layers/,Hall 7 Stand 7E31,,,http://www.7layers.com,"7layers supports technology enablers, manufacturers and service providers with wireless testing, engineering, certification and global type approval. Complementary services are technology consulting, specification development, benchmarking and validation of IoT services set-ups."
29,7p-austria-gmbh,https://www.mwcbarcelona.com/exhibitor/7p-austria-gmbh/,Hall 8,,alfred.bukowski@7p-group.com,,7P Enterprise Mobility Management
30,a10-networks,https://www.mwcbarcelona.com/exhibitor/a10-networks/,Hall 2,,tschriver@a10networks.com,,"A10 Networks is the leader in next-generation security technology for mobile operators worldwide—and the solution provider of choice for carriers undertaking 5G transformation. Its advanced converged firewall and DDoS protection solutions provide unmatched hyperscale, feature richness and AI-driven automation to meet the growing capacity requirements and complex management needs of 5G networks, while also improving the economics and performance of user plane and control plane security. A10’s 5G security solutions are widely recognized and embraced by mobile operators. A10 secured five design wins in 2018 for its Thunder 5G Gi-LAN converged firewall from operators planning commercial 5G deployments in 2019."
31,aac-technologies,https://www.mwcbarcelona.com/exhibitor/aac-technologies/,Hall 2 Stand 2C77MR,,info@aactechnologies.com,http://www.aactechnologies.com,"AAC Technologies provides solutions utilising cutting-edge, miniaturized, advanced proprietary technologies – within Acoustics, Imaging, MEMS, RF & Antennas, Electromagnetic Drives and Precision Processing. AAC’s advanced R&D covers materials research, simulations, algorithms, integration, automation and process research. With extensive manufacturing and automation experience, built on a history of massive smartphone volumes, AAC is now embracing high precision smart manufacturing to further enhance the user experience of tomorrow’s smart devices and beyond, with highest performance and quality."
32,abbyy,https://www.mwcbarcelona.com/exhibitor/abbyy/,Hall 8,,,,"ABBYY is a global provider of content intelligence solutions and services. The company’s AI-based digital transformation solutions help organizations achieve the next wave of growth. ABBYY technologies are used and licensed by thousands of international enterprises and government organizations, as well as SMBs and more than 50 million individuals. ABBYY has offices in 11 countries and over 1,000 employees."
